workerid	catchT	fact	check
0	1	NA	Can tigers fly?    
0	0	Motorboats have engines because they are 	NA
0	1	NA	Are Ferraris boats?    
0	0	Cars have engines because they are 	NA
0	0	Tigers have fur because they are 	NA
0	0	Ferraris have tires because they are 	NA
0	0	Tulips have leaves because they are 	NA
0	0	Boeing 747s are fast because they are 	NA
0	0	Tulips are beautiful because they are 	NA
0	0	Strawberries have seeds because they are 	NA
0	0	Trees have seeds because they are 	NA
0	0	Birds have eyes because they are 	NA
0	0	Scorpions are dangerous because they are 	NA
0	0	Redwoods are beautiful because they are 	NA
0	0	Tigers are smart because they are 	NA
0	0	Ferraris are fast because they are 	NA
0	0	Scorpions have eyes because they are 	NA
0	1	NA	Do trees have roots?    
0	0	Motorboats are useful because they are 	NA
0	0	Chimpanzees are smart because they are 	NA