original,subject,negation,predicate,predicate2,directObject,preposition,prepositionObject
he wanted to start his own garden,Jack,,want,start,garden,,
he wanted to grow fresh vegetables,Jack,,want,grow,vegetable,,
he was fat and worried about his health,Jack,,fat,,,about,health
he only ate junk food,Jack,,eat,,food,,
he did not know how to cook for himself,Jack,not,know,cook,,for,himself
John went to the store,John,,go,,,to,store
he was out of food,John,,be,,,out_of,food
he had not been to the store for a long time,John,not,be,,,for,time
he did not have much money,John,not,have,,money,,
he had lost of his job recently,John,,lose,,,of,job
he was lazy ,John,,lazy,,,,
Maya drove to work,maya,,drive,work,,,
she had to earn a paycheck,maya,,have,earn,paycheck,,
she had to pay her mortgage,maya,,have,pay,mortgage,,
she did not want to lose her home,maya,not,want,lose,home,,
she did not want to be homeless,maya,not,want,homeless,,,
Alex did the dishes,Alex,,do,,dish,,
it was his chore,it,,chore,,,,
his parents said so,parent,,say,,,,
they pay the bills in the house,they,,pay,,bill,,
 they are home owners,they,,owner,,,,
they wanted a home to start a family,they,,want,,home,,
John went to the store,John,,go,,,to,store
 she wanted ice cream,cream,,want,,cream,,
she was craving ice cream,cream,,cream,,,,
 she's pregnant,cream,,pregnant,,,,
she had sex with a male,cream,,have,,sex,,
because it feels good,male,,feel,,,,
Meg bought a new computer,Meg,,buy,,computer,,
she needed to spreadsheets at home,she,,need,,,at,home
she works from home,she,,work,,,from,home
her jobs lets her,job,,let,,she,,
they want to reduce work place stress,they,,want,reduce,stress,,
The company has stressful working conditions,company,,have,,condition,,
Sam repaired his bicycle,Sam,,repair,,bicycle,,
it was broken,someone,,break,,it,,
he jumped off a ramp,Sam,,jump,,ramp,,
it was fun,it,,fun,,,,
sam lives in middle of no where,sam,,live,,,in,middle
Tom cooked dinner,Tom,,cook,,dinner,,
he was hosting tonight's football night,he,,host,,,,
because his friends usually rotate between houses,friend,,rotate,,,between,house
it's a guys night out,it,,night,,,,
their wives nag,,,wife,,,,
they don't pay attention to them,they,not,pay,,attention,to,.
Alex did the dishes,Alex,,do,,dish,,
it was his day to do them,it,,day,,,,
his family has a chore chart,family,,have,,chart,,
every one needs to pitch in,one,,need,pitch,,in,
it is the fair thing to do,it,,thing,,,,
it keeps the household fair,it,,keep,,fair,,
Jack read a book about gardening,Jack,,read,,book,about,gardening
he wanted to start a garden,Jack,,want,start,garden,,
he wanted fresh vegetables,Jack,,want,,vegetable,,
he wanted to start eating healthy,Jack,,want,start,,,
to maintain a healthy body weight,,,maintain,,weight,,
he wants to live longer,Jack,,want,live,,,
John went to the store,John,,go,,,to,store
he was planning a party,John,,plan,,party,,
it was super bowl weekend,it,,weekend,,,,
the super bowl is on Sunday,bowl,,be,,,on,Sunday
that is when the NFL planned it,that,,be,,,,
Meg bought a new computer,Meg,,buy,,computer,,
his other one broke,other,,break,,,,
he got a virus,he,,get,,virus,,
he opened an email attatchment that infected his computer,he,,open,,attatchment,,
he thought  it was from a friend,he,,think,,,,
the email had his friends email and name,name,,have,,friend,,
Sam repaired his bicycle,Sam,,repair,,bicycle,,
it was broken in an accident,someone,,break,,it,in,accident
he was hit by a car,car,,hit,,Sam,,
the drver wasn't paying attention,drver,not,pay,,attention,,
he was looking at his cell phone,drver,,look,,,at,phone
he was texting his friend,drver,,text,,friend,,
Alex did the dishes,Alex,,do,,dish,,
they needed to be done,they,,need,do,,,
they were dirty,they,,dirty,,,,
they had been used,someone,,use,,they,,
food had been placed on them,someone,,place,,food,on,they
that's what you use dishes for,that,,be,,,,
Amy ate a sandwich,Amy,,eat,,sandwich,,
Amy was hungry,Amy,,hungry,,,,
Amy hadn't eaten in hours,Amy,not,eat,,,in,hour
she had no money for food,Amy,,have,,money,,
she was robbed,someone,,rob,,Amy,,
a burglar thought she had money,,,thought,,,,
Jack read a book about gardening,Jack,,read,,book,about,gardening
he was interested in gardening,Jack,,interested,,,in,gardening
he wanted to start a garden,Jack,,want,start,garden,,
he was interested in gardening,Jack,,interested,,,in,gardening
he wanted to start a garden,Jack,,want,start,garden,,
he was interested in gardening,Jack,,interested,,,in,gardening
Sam repaired his bicycle,Sam,,repair,,bicycle,,
it was broken,someone,,break,,it,,
it was used roughly,someone,,use,,it,,
the owner did not care for it,owner,not,care,,,for,bicycle
the owner was a horrible person,owner,,person,,,,
he was brought up wrong,someone,,bring,,person,,
Tom cooked dinner,Tom,,cook,,dinner,,
raw dinner is unhealthy,dinner,,unhealthy,,,,
you can die from eating raw meat,you,,die,,,_from,eat
bacteria on the meat can infect and kill you,bacterium,,infect,,you,,
that's what bacteria do,that,,be,,,,
Alex did the dishes,Alex,,do,,dish,,
he was asked to,someone,,ask,to,Alex,,
his mother wanted him to,mother,,want,,Alex,to,
she was tired,someone,,tire,,mother,,
she'd made the meal,mother,,make,,meal,,
they needed to eat,they,,need,eat,,,
Jack read a book about gardening,Jack,,read,,book,about,gardening
it interested him,it,,interest,,Jack,,
he wondered how to grow vegetables,Jack,,wonder,grow,vegetable,,
he thought eating fresh vegetables would be good,Jack,,think,eat,,,
they are healthful,they,,healthful,,,,
they provide nutrients,they,,provide,,nutrient,,
John went to the store,John,,go,,,to,store
he needed groceries,John,,need,,grocery,,
he had eaten all his food,John,,eat,,food,,
he hadn't been shopping in a while,John,not,shop,,,in,while
he didn't want to go shopping,John,not,want,go,shopping,,
Meg bought a new computer,Meg,,buy,,computer,,
her old one was broken,someone,,break,,one,,
it was old,it,,old,,,,
she'd bought it a long time ago,she,,buy,,one,,
she needed one for school,she,,need,,one,for,school
she had essays to write,she,,have,,essay,,
Tom cooked dinner,Tom,,cook,,dinner,,
he was hungry,he,,hungry,,,,
he'd worked all day,he,,work,,,,
that was his job,that,,job,,,,
he was offered that job,someone,,offer,,he,,
he had expertise,he,,have,,expertise,,
Amy ate a sandwich,Amy,,eat,,sandwich,,
she was hungry,Amy,,hungry,,,,
she hadn't eaten in a long time,Amy,not,eat,,,in,time
she forgot to eat while playing water polo,Amy,,forget,eat,,,
your not supposed to eat while swimming,you,,not,,,,
you can get stomach aches,you,,get,,ache,,
Jane went to the post office,Jane,,go,,,to,office
he wanted to mail a letter,he,,want,mail,letter,,
he wanted to tell his ex-wife how much he disliked her,he,,want,tell,ex-wife,,
she was a bad person,person,,person,,,,
she told him he would never amount to anything,person,,tell,,he,,
he didn't really amount to anything,he,not,amount,,,to,anything
John went to the store,John,,go,,,to,store
he needed a gun,John,,need,,gun,,
people had been breaking into his house,people,,break,,,into,house
he had lots of gold,John,,have,,lot,,
he invested in gold a long time ago,John,,invest,,,in,gold
it was a good investment,it,,investment,,,,
Maya drove to work,maya,,drive,work,,,
she needed to make money,maya,,need,make,money,,
 she had to pay her rent,maya,,have,pay,rent,,
she had to have a place to live,maya,,have,have,place,,
without a place to live she would be homeless,,,without,,,,
she didn't have anywhere else to live,maya,not,have,live,else,,
Sam repaired his bicycle,Sam,,repair,,bicycle,,
it had a flat tire,it,,have,,tire,,
he almost got in an accident,Sam,,get,,,in,accident
he came around a corner to fast,Sam,,come,,,to,corner
he was trying to show off,Sam,,try,show,,,
John went to the store,John,,go,,,to,store
He needed milk,John,,need,,milk,,
the jug was empty,jug,,empty,,,,
someone drank it all,someone,,drink,all,,,
they were thirsty,they,,thirsty,,,,
it was hot outside,it,,hot,,,outside,
Maya drove to work,maya,,drive,work,,,
she was scheduled to be there,someone,,schedule,be,maya,,
it wasn't her day off,it,not,day,,,,
Her boss said she had to work,boss,,say,,,,
he needed her,boss,,need,,maya,,
the store was busy,store,,busy,,,,
Meg bought a new computer,Meg,,buy,,computer,,
her old one quit working,,,old,,,,
lightning struck it,lightning,,strike,,one,,
she left it plugged in,she,,leave,,,,
she was in a hurry when she left,she,,be,,,in,hurry
Sam repaired his bicycle,Sam,,repair,,bicycle,,
it was broke,someone,,break,,it,,
he crashed it into a pole,Sam,,crash,,bicycle,into,pole
he wasn't looking where he was going,Sam,not,look,,,,
he was daydreaming,Sam,,daydream,,,,
he was thinking about a girl,Sam,,think,,,about,girl
Tom cooked dinner,Tom,,cook,,dinner,,
he was hungry,he,,hungry,,,,
he had not eaten lunch,he,not,eat,,lunch,,
the meeting ran late,meeting,,run,,,,
there were a lot of disagreements,lot,,be,,,,
no one could agree,one,,agree,,,,
Jane went to the post office,Jane,,go,,,to,office
she had to mail a letter,Jane,,have,mail,letter,,
she wanted to contact her aunt,Jane,,want,contact,aunt,,
her neice passed away,neice,,pass,,,,
she was sick,neice,,sick,,,,
she caught the bird flu,neice,,catch,,flu,,
Maya drove to work,maya,,drive,work,,,
it was quicker than walking,it,,quicker,,,_than,walk
cars are faster than people,car,,be,,,than,people
they have engines,they,,have,,engine,,
that is how they run,that,,be,,,,
Meg bought a new computer,Meg,,buy,,computer,,
her old one broke,old,,break,,,,
she got a virus on it,she,,get,,virus,on,virus
she clicked on a bad link,she,,click,,,on,link
it promised her money,it,,promise,,money,,
it was a scam,it,,scam,,,,
Sam repaired his bicycle,Sam,,repair,,bicycle,,
the tire was flat,tire,,flat,,,,
he ran over a nail,Sam,,run,,,over,nail
he was riding on a bad road,Sam,,ride,,,on,road
he had to take a detour,Sam,,have,take,detour,,
the bridge was out,bridge,,be,,,,
Tom cooked dinner,Tom,,cook,,dinner,,
he was hungry,he,,hungry,,,,
he hadn't eaten all day,he,not,eat,,,,
he was busy,he,,busy,,,,
he was working on his car,he,,work,,,on,car
the engine blew up,engine,,blow,,,,
Amy ate a sandwich,Amy,,eat,,sandwich,,
she was hungry,Amy,,hungry,,,,
she had not eaten yet,Amy,not,eat,,,,
she did not like breakfast,Amy,not,like,,breakfast,,
the eggs were too runny,egg,,runny,,,,
they had not been cooked as long as she likes,someone,not,cook,,they,,
Jane went to the post office,Jane,,go,,,to,office
she needed to mail a letter,Jane,,need,mail,letter,,
she needed to let everyone know about her wedding date,Jane,,need,let,,,
she wanted them to come to the wedding,Jane,,want,come,,to,wedding
she found their company pleasant,Jane,,find,pleasant,,,
they were kind and friendly,they,,kind,,,,
Meg bought a new computer,Meg,,buy,,computer,,
her old computer had become obsolete,computer,,become,,,,
it was ten years old,it,,old,,,,
she had not been able to afford a new one before then,she,not,able,afford,one,before,
she had to pay off student loan debts,she,,have,pay,debt,,
Sam repaired his bicycle,Sam,,repair,,bicycle,,
the chain was broken,someone,,break,,chain,,
it had caught on a stick while dirt biking,it,,catch,,,on,stick
he had not been careful enough,Sam,not,careful,,,,
He was biking with friends,Sam,,biking,,,with,friend
it's much more fun to be with friends than alone,it,,fun,,,,
Tom cooked dinner,Tom,,cook,,dinner,,
he had a guest coming over,he,,have,,guest,,
he wanted to impress her,he,,want,impress,woman,,
he thought she was a kind woman,he,,think,,,,
he had seen her help a small boy when he fell down,he,,see,boy,help,,
the small boy had not been paying attention and tripped,boy,not,pay,,attention,,
Alex did the dishes,Alex,,do,,dish,,
his sink was full of dirty dishes,sink,,full,,,of,dish
he just made dinner,Alex,,make,,dinner,,
he was hungry,Alex,,hungry,,,,
he just came home from a long day at work,Alex,,come,,home,at,work
he had to work overtime,Alex,,have,work,overtime,,
Amy ate a sandwich,Amy,,eat,,sandwich,,
she was hungry,Amy,,hungry,,,,
she hadn't eaten all day,Amy,not,eat,,,,
she was very busy,Amy,,busy,,,,
she was planning her wedding,Amy,,plan,,wedding,,
she is to be married in two months,Amy,,be,marry,,in,month
John went to the store,John,,go,,,to,store
he needed to buy groceries,John,,need,buy,grocery,,
he was out of several things,John,,be,,,out_of,thing
he hadn't gone shopping for a while,John,not,go,,shopping,,
he has been busy,John,,busy,,,,
he has a lot going on right now,John,,have,,lot,,
Maya drove to work,maya,,drive,work,,,
the bus wasn't available today,bus,not,available,,,,
it wasn't running today,it,not,run,,,,
the bus driver was sick,driver,,sick,,,,
there is a cold going around,cold,,be,,,,
people get sick,people,,sick,,,,
Sam repaired his bicycle,Sam,,repair,,bicycle,,
the tire was flat,tire,,flat,,,,
he ran over a piece of glass,Sam,,run,,,over,piece
somebody smashed a bottle in the street,somebody,,smash,,bottle,in,street
some people are not considerate,people,not,considerate,,,,
Jack read a book about gardening,Jack,,read,,book,about,gardening
he wants to start a garden,Jack,,want,start,garden,,
he would like to eat fresh fruit and vegetables,Jack,,like,eat,vegetable,,
he wants to be more healthy,Jack,,want,healthy,,,
he wants to have a higher quality of living,Jack,,want,have,quality,,
he wants to be happier,Jack,,want,happier,,,
Maya drove to work,maya,,drive,work,,,
she enjoys driving,maya,,enjoy,drive,,,
it's fun to her,it,,fun,,,to,maya
she enjoys the feel of the road,maya,,enjoy,,feel,,
it's a pleasant experience,it,,experience,,,,
she can feel the power under her feet,maya,,feel,,power,under,foot
Meg bought a new computer,Meg,,buy,,computer,,
she needed one,she,,need,,one,,
her work requires a computer,work,,require,,computer,,
a lot of her work is online,lot,,online,,,,
it's the nature of her profession,it,,nature,,,of,profession
Sam repaired his bicycle,Sam,,repair,,bicycle,,
he wants to ride his bike,Sam,,want,ride,bike,,
he wants to exercise more,Sam,,want,exercise,more,,
he wants to get in shape,Sam,,want,get,,in,shape
he wants to live a healthier life,Sam,,want,live,life,,
he wants to feel better about himself,Sam,,want,feel,better,about,himself
Tom cooked dinner,Tom,,cook,,dinner,,
he was hungry,he,,hungry,,,,
he hadn't eaten all day,he,not,eat,,,,
he was busy,he,,busy,,,,
he has a job,he,,have,,job,,
he needs to pay his bills,he,,need,pay,bill,,
Amy ate a sandwich,Amy,,eat,,sandwich,,
she was hungry,Amy,,hungry,,,,
she hasn't had a meal in hours,Amy,not,have,,meal,,
she was busy running errands,Amy,,busy,,,,
today was the only day that was free,today,,day,,,,
the rest of the week she was working,,,rest,,,of,week
Jack read a book about gardening,Jack,,read,,book,about,gardening
he wanted to learn how to run a garden,Jack,,want,learn,,,
he wanted some fresh vegetables,Jack,,want,,vegetable,,
they taste a lot better than store bought,they,,taste,,,,
they haven't been sitting,they,not,sit,,,,
they were freshly cut,someone,,cut,,they,,
Maya drove to work,maya,,drive,work,,,
it was time for her shift,it,,time,,,for,shift
she was scheduled to work today,someone,,schedule,work,maya,,
the manager thought it was best,manager,,think,,,,
the hours worked for everybody,hour,,work,,,for,everybody
it didn't conflict with anyone,it,not,conflict,,,with,anyone
Sam repaired his bicycle,Sam,,repair,,bicycle,,
it was broken,someone,,break,,it,,
someone crashed it,someone,,crash,,bicycle,,
they were being careless,they,,careless,,,,
they didn't respect Sam,they,not,do,,Sam,,
Tom cooked dinner,Tom,,cook,,dinner,,
he wanted something to eat,he,,want,eat,something,,
his stomach was making noises,stomach,,make,,noise,,
he didn't eat for a long time,he,not,eat,,,for,time
the amount of work he had to finish,,,amount,,,of,work
he was putting it off,he,,put,,work,,
Alex did the dishes,Alex,,do,,dish,,
his dishwasher was broken,someone,,break,,dishwasher,,
his children had put crayons in it,child,,put,,crayon,,
they didn't like the colors and wanted to change them,they,not,like,,color,,
they thought the colors were too dark,they,,think,,,,
they were trying to draw pictures of snowflakes,they,,try,draw,picture,,
Amy ate a sandwich,Amy,,eat,,sandwich,,
the salad was unavailable,salad,,unavailable,,,,
the lettuce was not shipped in time,someone,not,ship,,lettuce,in,time
a snow squall prevented the crop from being picked,squall,,prevent,,crop,_from,pick
the workers could not access the fields,worker,not,access,,field,,
large amounts of wet snow made the ground muddy,amount,,make,muddy,,,
John went to the store,John,,go,,,to,store
he needed toilet paper,John,,need,,paper,,
he had overnight guests,John,,have,,guest,,
his best friend was in town,friend,,be,,,in,town
he had a job interview,friend,,have,,interview,,
he recently left his wife,friend,,leave,,wife,,
Maya drove to work,maya,,drive,work,,,
the bus service was unavailable,service,,unavailable,,,,
a large crater formed in the intersection,crater,,form,,,in,intersection
a water main broke,water,,break,,,,
poor installation by the contractors,,,installation,,,by,contractor
they underbid the job to get the work,they,,underbid,,job,,
Sam repaired his bicycle,Sam,,repair,,bicycle,,
his auto was in the shop and he needed transportation,auto,,be,,,in,shop
he previously had been in an accident,Sam,,be,,,in,accident
an opposum with babies had crossed the highway as he was passing,opposum,,cross,,highway,,
there was a pack of coyotes moving from the hills towards them,pack,,be,,,,
Alex did the dishes,Alex,,do,,dish,,
he was told to,someone,,tell,to,Alex,,
his mom didn't want to do them,mom,not,want,do,they,,
she was busy buying crack,mom,,busy,,,,
shes an addict,,,she,,,,
her father touched her,father,,touch,,mom,,
Jack read a book about gardening,Jack,,read,,book,about,gardening
he wanted to grow pot,Jack,,want,grow,pot,,
buying weed is expensive,weed,,expensive,,,,
the federal war on drugs has artificially inflated prices,war,,have,,price,,
more risk equals more reward,risk,,equal,,reward,,
people want to be paid for risking their lives,people,,want,pay,,_for,risk
Meg bought a new computer,Meg,,buy,,computer,,
her old one was stolen,someone,,steal,,one,,
someone broke into her house,someone,,break,,,into,house
they wanted her things,they,,want,,thing,,
they could sell them for drugs,they,,sell,,they,for,drug
fence's don't ask a lot of questions,,,fence,,,,
Sam repaired his bicycle,Sam,,repair,,bicycle,,
it was broken,someone,,break,,it,,
someone tried to steal it,someone,,try,steal,bicycle,,
they wanted crack money,they,,want,,money,,
they're an addict,they,,addict,,,,
they made some bad life choices,they,,make,,choice,,
Tom cooked dinner,Tom,,cook,,dinner,,
he wanted a steak,he,,want,,steak,,
meat is delicious,meat,,delicious,,,,
evolution designed us to derive nutrition from many sources,evolution,,design,derive,nutrition,from,source
omnivores have a better chance of surviving in rapidly changing conditions,omnivore,,have,,chance,,
Alex did the dishes,Alex,,do,,dish,,
they were dirty,they,,dirty,,,,
nobody else cleaned them,nobody,,clean,,they,,
they are lazy,they,,lazy,,,,
Alex lets them be lazy,Alex,,let,,,,
he has no back bone,Alex,,have,,bone,,
Amy ate a sandwich,Amy,,eat,,sandwich,,
she was hungry,Amy,,hungry,,,,
she hadn't eaten,Amy,not,eat,,,,
she was busy,Amy,,busy,,,,
she had to work,Amy,,have,work,,,
she needed money,Amy,,need,,money,,
Jane went to the post office,Jane,,go,,,to,office
she needed to mail something,Jane,,need,,,to,something
Maya drove to work,maya,,drive,work,,,
it was to far to walk,it,,be,walk,,,
Meg bought a new computer,Meg,,buy,,computer,,
her old one was slow,one,,slow,,,,
it was old,it,,old,,,,
she bought it years ago,she,,buy,,one,,
she hasn't bought one since then,she,not,buy,,one,since,
she didn't have the money,she,not,have,,money,,
Sam repaired his bicycle,Sam,,repair,,bicycle,,
the chain fell off,chain,,fall,,,,
he was riding to fast,Sam,,ride,,,to,
people were chasing him,people,,chase,,Sam,,
he robbed a bank,Sam,,rob,,bank,,
he needed money,Sam,,need,,money,,
Alex did the dishes,Alex,,do,,dish,,
they were dirty,they,,dirty,,,,
he had made a complicated dinner the night before,Alex,,make,,,,
he had a date that night,Alex,,have,,date,,
he'd called around to see if a friend of his was available,Alex,,call,see,,,
he'd always found her cute,Alex,,find,cute,,,
Jack read a book about gardening,Jack,,read,,book,about,gardening
he wanted to learn how to grow vegetables,Jack,,want,learn,,,
the vegetables at the store weren't very good,vegetable,not,good,,,,
they were covered in pesticides,someone,,cover,,they,in,pesticide
there had been a problem with pests that season,,,problem,,,with,pest
the weather was unseasonably warm,weather,,warm,,,,
John went to the store,John,,go,,,to,store
he needed milk,John,,need,,milk,,
he wanted cereal for breakfast,John,,want,,cereal,for,breakfast
he had no more oatmeal,John,,have,,oatmeal,,
he ate all of the oatmeal earlier in the week,John,,eat,,all,in,week
it was his favorite breakfast food,it,,food,,,,
Sam repaired his bicycle,Sam,,repair,,bicycle,,
it was broken,someone,,break,,it,,
he had crashed and bent the fender,Sam,,crash,,,,
he wasn't paying attention to where he was going,Sam,not,pay,,attention,_to,go
he saw a pretty girl,Sam,,see,,,,
she was wearing a red dress,girl,,wear,,dress,,